Area Code,Area,Months,Element,Unit,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019
2,Afghanistan,January,Temperature change,°C,3.601,1.179,-0.583,1.233,1.755,1.943,3.416,1.201,1.996,2.951
2,Afghanistan,February,Temperature change,°C,1.212,0.321,-3.201,1.494,-3.187,2.699,2.251,-0.323,2.705,0.086
2,Afghanistan,March,Temperature change,°C,3.39,0.748,-0.527,2.246,-0.076,-0.497,2.296,0.834,4.418,0.234
2,Afghanistan,April,Temperature change,°C,2.591,1.712,1.417,-0.052,0.585,1.589,0.98,1.252,1.442,0.899
2,Afghanistan,May,Temperature change,°C,1.419,3.643,0.909,1.201,0.959,1.862,3.246,3.28,0.855,0.647
2,Afghanistan,June,Temperature change,°C,0.594,2.45,0.305,1.924,1.492,1.289,1.586,2.002,1.786,-0.289
2,Afghanistan,July,Temperature change,°C,0.494,0.532,0.973,1.126,0.671,1.092,1.079,0.901,1.815,1.885
2,Afghanistan,August,Temperature change,°C,0.587,1.93,1.356,0.886,0.706,0.589,0.311,0.102,0.982,0.773
2,Afghanistan,September,Temperature change,°C,0.03,1.408,0.495,2.586,2.268,0.172,3.016,0.93,1.063,2.004
2,Afghanistan,October,Temperature change,°C,2.927,1.339,0.827,1.691,1.134,1.894,0.792,2.092,-0.103,1.264
2,Afghanistan,November,Temperature change,°C,0.975,1,1.042,0.975,-0.403,0.512,-1.345,2.089,0.882,-1.051
2,Afghanistan,December,Temperature change,°C,-0.154,-1.789,-0.467,-0.216,0.005,0.048,3.429,0.441,1.311,1.426
2,Afghanistan,Dec–Jan–Feb,Temperature change,°C,1.921,0.449,-1.858,0.753,-0.549,1.549,1.905,1.436,1.714,1.449
2,Afghanistan,Mar–Apr–May,Temperature change,°C,2.467,2.034,0.6,1.132,0.489,0.985,2.174,1.789,2.238,0.593
2,Afghanistan,Jun–Jul–Aug,Temperature change,°C,0.558,1.637,0.878,1.312,0.956,0.99,0.992,1.002,1.528,0.79
2,Afghanistan,Sep–Oct–Nov,Temperature change,°C,1.311,1.249,0.788,1.751,1,0.859,0.821,1.704,0.614,0.739
2,Afghanistan,Meteorological year,Temperature change,°C,1.564,1.342,0.102,1.237,0.474,1.096,1.473,1.483,1.524,0.893
3,Albania,January,Temperature change,°C,1.137,0.812,-1.004,1.76,3.583,1.083,1.53,-2.47,2.304,-0.816
3,Albania,February,Temperature change,°C,0.879,0.554,-2.714,1.219,3.502,0.378,4.611,2.622,0.765,1.563
3,Albania,March,Temperature change,°C,1.079,1.521,2.081,1.42,2.363,0.777,1.67,3.419,1.768,3.119
3,Albania,April,Temperature change,°C,1.804,1.35,1.32,2.509,1.076,0.607,3.554,0.938,4.878,1.866
3,Albania,May,Temperature change,°C,0.938,0.687,0.916,2.107,0.079,2.341,0.141,1.424,3.424,-0.822
3,Albania,June,Temperature change,°C,0.847,1.384,3.084,0.896,1.052,1.278,1.974,2.879,1.709,3.474
3,Albania,July,Temperature change,°C,1.676,1.228,3.824,1.452,0.353,3.828,2.373,2.783,1.538,1.873
3,Albania,August,Temperature change,°C,2.518,2.444,3.13,2.822,1.44,3.174,1.414,3.522,2.704,3.336
3,Albania,September,Temperature change,°C,0.296,3.838,2.487,0.88,0.264,2.707,0.948,0.905,2.328,2.706
3,Albania,October,Temperature change,°C,-0.408,-0.083,2.858,1.783,1.068,1.732,1.018,0.644,2.789,3.004
3,Albania,November,Temperature change,°C,2.859,-0.711,2.557,1.922,2.048,1.683,0.625,0.253,2.101,3.585
3,Albania,December,Temperature change,°C,0.453,0.703,-0.831,-0.035,1.106,0.509,-0.872,0.476,0.04,2.052
3,Albania,Dec–Jan–Feb,Temperature change,°C,1.306,0.606,-1.005,0.716,2.35,0.856,2.217,-0.24,1.182,0.262
3,Albania,Mar–Apr–May,Temperature change,°C,1.274,1.186,1.439,2.012,1.173,1.242,1.788,1.927,3.357,1.388
3,Albania,Jun–Jul–Aug,Temperature change,°C,1.68,1.685,3.346,1.723,0.948,2.76,1.92,3.061,1.984,2.894
3,Albania,Sep–Oct–Nov,Temperature change,°C,0.916,1.015,2.634,1.528,1.127,2.041,0.864,0.601,2.406,3.098
3,Albania,Meteorological year,Temperature change,°C,1.294,1.123,1.603,1.495,1.399,1.725,1.697,1.337,2.232,1.911
4,Algeria,January,Temperature change,°C,2.197,1.496,-1.14,0.226,1.373,-0.519,2.288,-1.669,1.504,-0.874
4,Algeria,February,Temperature change,°C,4.067,-0.643,-2.68,-0.835,1.095,-0.477,1.731,2.156,-0.301,-1.145
4,Algeria,March,Temperature change,°C,3.386,1.79,0.193,2.801,0.318,-0.274,-0.001,2.054,1.985,0.764
4,Algeria,April,Temperature change,°C,3.921,2.375,1.234,2.213,2.965,3.222,3.738,2.258,2.286,1.169
4,Algeria,May,Temperature change,°C,1.227,1.26,2.491,1.325,2.396,3.218,2.584,4.114,1.001,1.743
4,Algeria,June,Temperature change,°C,1.568,0.912,3.151,0.838,0.857,0.946,1.976,2.062,1.104,1.861
4,Algeria,July,Temperature change,°C,2.096,1.858,2.388,1.728,2.147,1.115,1.443,1.827,3.442,2.367
4,Algeria,August,Temperature change,°C,1.783,1.617,1.878,0.498,2.27,1.921,0.87,1.734,0.601,2.388
4,Algeria,September,Temperature change,°C,1.395,2.639,1.317,1.021,2.998,1.539,1.738,1.534,1.562,2.192
4,Algeria,October,Temperature change,°C,1.687,0.395,2.686,3.903,2.47,2.734,3.334,0.969,1.295,2.076
4,Algeria,November,Temperature change,°C,1.789,1.442,2.92,0.72,2.357,1.248,1.636,0.708,1.511,0.899
4,Algeria,December,Temperature change,°C,2.768,0.421,0.771,0.041,0.018,1.056,1.815,-0.081,1.255,2.361
4,Algeria,Dec–Jan–Feb,Temperature change,°C,3.15,1.207,-1.133,0.054,0.836,-0.326,1.692,0.767,0.374,-0.255
4,Algeria,Mar–Apr–May,Temperature change,°C,2.845,1.808,1.306,2.113,1.893,2.055,2.107,2.809,1.757,1.225
4,Algeria,Jun–Jul–Aug,Temperature change,°C,1.816,1.462,2.472,1.021,1.758,1.327,1.43,1.874,1.716,2.205
4,Algeria,Sep–Oct–Nov,Temperature change,°C,1.624,1.492,2.308,1.881,2.608,1.84,2.236,1.07,1.456,1.722
4,Algeria,Meteorological year,Temperature change,°C,2.359,1.492,1.238,1.267,1.774,1.224,1.866,1.63,1.326,1.224
5,American Samoa,January,Temperature change,°C,3.01,0.379,0.843,0.534,0.553,0.993,1.863,1.713,0.763,1.513
5,American Samoa,February,Temperature change,°C,1.015,-0.098,0.702,1.182,1.466,1.526,2.606,0.806,0.956,1.506
5,American Samoa,March,Temperature change,°C,1.171,0.62,0.32,1.02,1.466,1.301134715,1.449329871,1.300110015,1.273723635,1.441565657
5,American Samoa,April,Temperature change,°C,-0.93,0.853738462,0.887970893,0.965319951,1.466,1.301134715,1.449329871,1.300110015,1.273723635,1.441565657
5,American Samoa,May,Temperature change,°C,0.906,0.901,0.606,1.671,0.997,0.697,1.147,1.297,1.097,1.047
5,American Samoa,June,Temperature change,°C,0.702,1.052,0.665,1.285,0.756,0.566,1.176,0.976,1.476,1.476
5,American Samoa,July,Temperature change,°C,1.616,1.967,0.674,1.059,0.42,0.58,1.01,1.16,0.96,1.36
5,American Samoa,August,Temperature change,°C,1.313,1.058,1.133,1.158,0.849,0.279,1.579,1.329,0.879,1.879
5,American Samoa,September,Temperature change,°C,0.799,1.185,1.354,1.314,1.718,0.748,1.408,1.758,1.308,1.658
5,American Samoa,October,Temperature change,°C,1.327,1.223,1.588,1.268,2.114,0.494,1.654,1.004,1.304,1.504
5,American Samoa,November,Temperature change,°C,1.38,0.581,1.691,1.217,0.887,1.517,1.307,1.407,1.407,1.107
5,American Samoa,December,Temperature change,°C,-0.143,0.853738462,0.887970893,0.965319951,1.101856475,1.301134715,1.449329871,1.300110015,1.273723635,1.441565657
5,American Samoa,Dec–Jan–Feb,Temperature change,°C,2.321,0.046,0.772,0.858,1.01,1.26,2.234,1.26,0.859,1.51
5,American Samoa,Mar–Apr–May,Temperature change,°C,0.382,0.76,0.463,1.345,1.101856475,1.301134715,1.449329871,1.300110015,1.273723635,1.441565657
5,American Samoa,Jun–Jul–Aug,Temperature change,°C,1.21,1.359,0.824,1.167,0.675,0.475,1.255,1.155,1.105,1.572
5,American Samoa,Sep–Oct–Nov,Temperature change,°C,1.169,0.996,1.544,1.266,1.573,0.92,1.456,1.39,1.34,1.423
5,American Samoa,Meteorological year,Temperature change,°C,1.271,0.79,0.901,1.159,1.086,0.885,1.648,1.268,1.101,1.502
6,Andorra,January,Temperature change,°C,-1.069,0.068,1.314,0.523,2.776,0.779,3.193,-0.992,3.379,-0.333
6,Andorra,February,Temperature change,°C,-0.769,1.476,-3.585,-1.019,1.431,-0.771,1.997,2.875,-1.468,2.791
6,Andorra,March,Temperature change,°C,-0.432,1.22,2.38,0.677,1.515,1.486,0.383,2.9,0.446,2.023
6,Andorra,April,Temperature change,°C,2.141,4.157,0.203,0.656,3.155,2.571,1.331,1.839,2.84,1.204
6,Andorra,May,Temperature change,°C,-0.172,3.214,2.166,-1.645,0.348,2.211,0.693,2.794,1.358,-0.084
6,Andorra,June,Temperature change,°C,1.03,0.892,2.572,-0.199,2.661,3.647,1.63,4.248,2.523,2.457
6,Andorra,July,Temperature change,°C,2.568,-0.342,0.537,3.205,0.46,3.762,1.972,1.947,3.244,3.482
6,Andorra,August,Temperature change,°C,1.431,2.049,3.222,1.796,0.379,1.953,2.368,2.602,3.278,2.844
6,Andorra,September,Temperature change,°C,0.21,2.628,0.963,1.274,2.208,-0.254,2.772,-0.459,3.098,1.951
6,Andorra,October,Temperature change,°C,-0.172,2.086,1.557,2.893,3.664,0.649,1.431,2.792,1.517,2.749
6,Andorra,November,Temperature change,°C,0.225,3.427,1.451,0.029,3.559,2.957,1.634,0.239,1.889,0.618
6,Andorra,December,Temperature change,°C,-1.155,2.015,1.335,0.629,0.442,3.596,1.451,-0.195,2.754,3.932
6,Andorra,Dec–Jan–Feb,Temperature change,°C,-0.511,0.13,-0.085,0.28,1.612,0.15,2.929,1.111,0.572,1.737
